taken_at,Date,event_id,starts,League,Player1,Player2,PS1,PS2
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637241206,2026-09-23 22:00:00+00:00,ITF Men Pardubice - R16,Sebastian Dominko,Marko Bekeni,1.072,8.52
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637241207,2026-09-23 22:00:00+00:00,ITF Men Pardubice - R16,Dominik Recek,Jakub Kusy,1.2268,4.13
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637241212,2026-09-23 21:00:00+00:00,ITF Women Constanta - R16,Stefania Bojica,Alesia Breaz,2.32,1.6211
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637244597,2026-09-23 22:00:00+00:00,ITF Men Pardubice - R16,Rudolf Molleker,Heorhii Shylov,1.1701,4.95
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637244602,2026-09-23 21:00:00+00:00,ITF Women Constanta - R16,Melinda Biro,Maria Herazo,1.3436,3.29
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637244633,2026-09-23 22:00:00+00:00,ITF Men Forbach - R16,Fons Van Sambeek,Flynn Thomas,1.6536,2.21
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637244634,2026-09-23 22:00:00+00:00,ITF Men Forbach - R16,Timeo Trufelli,Louis Van Herck,1.6993,2.13
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637244635,2026-09-23 22:00:00+00:00,ITF Men Forbach - R16,Matteo Covato,Stefan Seifert,7.3,1.092
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637246658,2026-09-23 22:00:00+00:00,ITF Men Pardubice - R16,Claus Piening,Kalin Ivanovski,17.88,1.021
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637246659,2026-09-23 22:00:00+00:00,ITF Men Pardubice - R16,Jonas Gundacker,Lukas Pokorny,3.98,1.2398
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637246660,2026-09-23 22:00:00+00:00,ITF Men Pardubice - R16,David Petrofsky,Matyas Cerny,16.98,1.023
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637246661,2026-09-23 22:00:00+00:00,ITF Men Pardubice - R16,Jiri Cizek,Petros Tsitsipas,1.9091,1.8772
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637246698,2026-09-23 22:00:00+00:00,ITF Men Forbach - R16,Arthur Nagel,Paul Theate,1.017,19.95
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637248803,2026-09-23 21:00:00+00:00,ITF Women Constanta - R16,Iulia Maria Buculei,Linda Sevcikova,1.7692,2.07
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637248804,2026-09-23 21:00:00+00:00,ITF Women Constanta - R16,Maia Ilinca Burcescu,Sonja Zhenikhova,1.4464,2.81
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637248829,2026-09-23 22:00:00+00:00,ITF Men Forbach - R16,Moritz Hoffmann,Daniel De Jonge,8.32,1.075
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637248831,2026-09-23 22:00:00+00:00,ITF Men Forbach - R16,Tom Zeuch,Noah Boutleux,1.2268,4.12
